row_number,transction_year,transction_month,province_name_th,province_name_en,district_name_th,district_name_en,propertytype_name_th,propertytype_name_en,volume_of_project,interest,day
2229,2019,10,นนทบุรี,Nonthaburi,ไทรน้อย,SAI NOI,ทาวน์โฮม,Townhome,49,468,2023-08-31
545,2020,6,สมุทรสาคร,Samut Sakhon,เมืองสมุทรสาคร,MUEANG SAMUT SAKHON,บ้านแฝด,Twin house,22,72,2023-08-31
2202,2020,2,นนทบุรี,Nonthaburi,เมืองนนทบุรี,MUEANG NONTHABURI,คอนโด,Condo,108,2661,2023-08-31
577,2022,4,สมุทรปราการ,Samut Prakan,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,ทาวน์โฮม,Townhome,22,292,2023-08-31
2200,2019,8,ปทุมธานี,Pathum Thani,คลองหลวง,KHLONG LUANG,คอนโด,Condo,46,861,2023-08-31
1780,2022,1,กรุงเทพมหานคร,Bangkok,บางขุนเทียน,BANG KHUN THIAN,คอนโด,Condo,11,15,2023-08-31
1043,2020,4,นนทบุรี,Nonthaburi,ปากเกร็ด,PAK KRET,บ้านแฝด,Twin house,14,41,2023-08-31
2299,2022,3,กรุงเทพมหานคร,Bangkok,คันนายาว,KHAN NA YAO,บ้าน,Detached House,20,295,2023-08-31
1811,2021,5,ปทุมธานี,Pathum Thani,ธัญบุรี,THANYABURI,ทาวน์โฮม,Townhome,14,56,2023-08-31
296,2022,5,กรุงเทพมหานคร,Bangkok,บางบอน,BANG BON,บ้าน,Detached House,17,75,2023-08-31
510,2019,9,กรุงเทพมหานคร,Bangkok,ทุ่งครุ,THUNG KHRU,บ้าน,Detached House,37,556,2023-08-31
634,2019,9,กรุงเทพมหานคร,Bangkok,บางเขน,BANG KHEN,ทาวน์โฮม,Townhome,81,584,2023-08-31
1396,2022,11,สมุทรปราการ,Samut Prakan,บางบ่อ,BANG BO,บ้าน,Detached House,14,98,2023-08-31
1693,2019,7,สมุทรปราการ,Samut Prakan,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,อาคารพาณิชย์,Commercial,15,262,2023-08-31
913,2022,7,กรุงเทพมหานคร,Bangkok,พระโขนง,PHRA KHANONG,คอนโด,Condo,17,40,2023-08-31
1892,2020,9,กรุงเทพมหานคร,Bangkok,จตุจักร,CHATUCHAK,คอนโด,Condo,45,270,2023-08-31
994,2020,7,สมุทรสาคร,Samut Sakhon,กระทุ่มแบน,KRATHUM BAEN,บ้าน,Detached House,16,202,2023-08-31
955,2021,3,กรุงเทพมหานคร,Bangkok,คันนายาว,KHAN NA YAO,คอนโด,Condo,19,70,2023-08-31
1058,2021,5,กรุงเทพมหานคร,Bangkok,ลาดพร้าว,LAT PHRAO,โฮมออฟฟิศ,Home office,42,147,2023-08-31
1179,2020,3,กรุงเทพมหานคร,Bangkok,บางขุนเทียน,BANG KHUN THIAN,บ้าน,Detached House,61,457,2023-08-31
1841,2019,7,กรุงเทพมหานคร,Bangkok,บางกอกน้อย,BANGKOK NOI,ทาวน์โฮม,Townhome,17,188,2023-08-31
1868,2019,9,ปทุมธานี,Pathum Thani,ลาดหลุมแก้ว,LAT LUM KAEO,บ้านแฝด,Twin house,37,424,2023-08-31
1860,2021,3,กรุงเทพมหานคร,Bangkok,บางบอน,BANG BON,คอนโด,Condo,27,264,2023-08-31
1434,2019,7,สมุทรปราการ,Samut Prakan,บางบ่อ,BANG BO,ทาวน์โฮม,Townhome,40,1060,2023-08-31
1145,2022,5,สมุทรปราการ,Samut Prakan,บางเสาธง,BANG SAO THONG,คอนโด,Condo,26,355,2023-08-31
1725,2019,11,ปทุมธานี,Pathum Thani,ลำลูกกา,LAM LUK KA,บ้านแฝด,Twin house,50,840,2023-08-31
375,2021,12,กรุงเทพมหานคร,Bangkok,บางเขน,BANG KHEN,อาคารพาณิชย์,Commercial,14,27,2023-08-31
1189,2021,5,กรุงเทพมหานคร,Bangkok,คันนายาว,KHAN NA YAO,บ้านแฝด,Twin house,19,61,2023-08-31
1499,2022,12,กรุงเทพมหานคร,Bangkok,บางกะปิ,BANG KAPI,ทาวน์โฮม,Townhome,8,141,2023-08-31
1075,2019,11,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,บ้าน,Detached House,104,2685,2023-08-31
560,2019,1,กรุงเทพมหานคร,Bangkok,ราชเทวี,RATCHATHEWI,คอนโด,Condo,24,104,2023-08-31
1680,2019,11,ปทุมธานี,Pathum Thani,เมืองปทุมธานี,MUEANG PATHUM THANI,อาคารพาณิชย์,Commercial,52,933,2023-08-31
578,2020,6,กรุงเทพมหานคร,Bangkok,ประเวศ,PRAWET,โฮมออฟฟิศ,Home office,7,11,2023-08-31
821,2020,5,กรุงเทพมหานคร,Bangkok,มีนบุรี,MIN BURI,บ้าน,Detached House,32,184,2023-08-31
449,2020,11,กรุงเทพมหานคร,Bangkok,บางบอน,BANG BON,ทาวน์โฮม,Townhome,19,152,2023-08-31
1164,2021,9,กรุงเทพมหานคร,Bangkok,บึงกุ่ม,BUENG KUM,ทาวน์โฮม,Townhome,31,350,2023-08-31
1729,2019,7,กรุงเทพมหานคร,Bangkok,บางกะปิ,BANG KAPI,คอนโด,Condo,66,315,2023-08-31
1628,2020,1,กรุงเทพมหานคร,Bangkok,คลองสามวา,KHLONG SAM WA,บ้าน,Detached House,203,2189,2023-08-31
2009,2019,6,กรุงเทพมหานคร,Bangkok,ประเวศ,PRAWET,คอนโด,Condo,37,170,2023-08-31
1440,2020,12,กรุงเทพมหานคร,Bangkok,ห้วยขวาง,HUAI KHWANG,คอนโด,Condo,22,43,2023-08-31
1362,2022,6,นนทบุรี,Nonthaburi,ปากเกร็ด,PAK KRET,บ้าน,Detached House,8,19,2023-08-31
2172,2019,9,ปทุมธานี,Pathum Thani,เมืองปทุมธานี,MUEANG PATHUM THANI,ทาวน์โฮม,Townhome,71,491,2023-08-31
701,2020,11,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,บ้าน,Detached House,246,3246,2023-08-31
709,2020,1,ปทุมธานี,Pathum Thani,คลองหลวง,KHLONG LUANG,ทาวน์โฮม,Townhome,84,872,2023-08-31
576,2020,2,กรุงเทพมหานคร,Bangkok,ประเวศ,PRAWET,ทาวน์โฮม,Townhome,25,133,2023-08-31
1461,2021,5,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,บ้านแฝด,Twin house,21,176,2023-08-31
1866,2022,3,สมุทรปราการ,Samut Prakan,พระประแดง,PHRA PRADAENG,บ้านแฝด,Twin house,42,308,2023-08-31
940,2020,3,กรุงเทพมหานคร,Bangkok,บางเขน,BANG KHEN,อาคารพาณิชย์,Commercial,70,567,2023-08-31
757,2021,7,กรุงเทพมหานคร,Bangkok,บางกะปิ,BANG KAPI,คอนโด,Condo,44,215,2023-08-31
1775,2020,5,กรุงเทพมหานคร,Bangkok,คันนายาว,KHAN NA YAO,ทาวน์โฮม,Townhome,17,89,2023-08-31
852,2022,2,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,คอนโด,Condo,66,708,2023-08-31
232,2022,1,กรุงเทพมหานคร,Bangkok,คันนายาว,KHAN NA YAO,บ้านแฝด,Twin house,53,5987,2023-08-31
421,2019,10,นนทบุรี,Nonthaburi,ไทรน้อย,SAI NOI,บ้านแฝด,Twin house,119,9854,2023-08-31
1084,2019,7,ปทุมธานี,Pathum Thani,เมืองปทุมธานี,MUEANG PATHUM THANI,บ้าน,Detached House,44,1477,2023-08-31
2241,2021,9,กรุงเทพมหานคร,Bangkok,บึงกุ่ม,BUENG KUM,บ้าน,Detached House,5,11,2023-08-31
1431,2021,7,กรุงเทพมหานคร,Bangkok,บางนา,BANG NA,คอนโด,Condo,37,114,2023-08-31
1796,2019,6,กรุงเทพมหานคร,Bangkok,บึงกุ่ม,BUENG KUM,บ้าน,Detached House,79,700,2023-08-31
909,2019,7,นนทบุรี,Nonthaburi,บางใหญ่,BANG YAI,ทาวน์โฮม,Townhome,58,2159,2023-08-31
1969,2022,7,นนทบุรี,Nonthaburi,บางกรวย,BANG KRUAI,บ้านแฝด,Twin house,21,148,2023-08-31
2135,2019,6,กรุงเทพมหานคร,Bangkok,ทุ่งครุ,THUNG KHRU,ทาวน์โฮม,Townhome,33,279,2023-08-31
722,2022,7,กรุงเทพมหานคร,Bangkok,บางกะปิ,BANG KAPI,บ้าน,Detached House,26,203,2023-08-31
1138,2021,5,กรุงเทพมหานคร,Bangkok,ลาดพร้าว,LAT PHRAO,บ้านแฝด,Twin house,14,30,2023-08-31
1837,2022,5,กรุงเทพมหานคร,Bangkok,สาทร,SATHON,บ้านแฝด,Twin house,23,109,2023-08-31
1223,2021,3,กรุงเทพมหานคร,Bangkok,ประเวศ,PRAWET,อาคารพาณิชย์,Commercial,60,479,2023-08-31
1994,2019,3,กรุงเทพมหานคร,Bangkok,ห้วยขวาง,HUAI KHWANG,บ้าน,Detached House,23,75,2023-08-31
1514,2022,4,กรุงเทพมหานคร,Bangkok,สายไหม,SAI MAI,บ้าน,Detached House,10,217,2023-08-31
1558,2020,5,กรุงเทพมหานคร,Bangkok,วัฒนา,VADHANA,คอนโด,Condo,124,239,2023-08-31
1062,2021,7,กรุงเทพมหานคร,Bangkok,ลาดพร้าว,LAT PHRAO,คอนโด,Condo,18,70,2023-08-31
2290,2021,7,ปทุมธานี,Pathum Thani,คลองหลวง,KHLONG LUANG,ทาวน์โฮม,Townhome,71,2442,2023-08-31
1458,2019,12,กรุงเทพมหานคร,Bangkok,สายไหม,SAI MAI,คอนโด,Condo,38,863,2023-08-31
1795,2019,8,กรุงเทพมหานคร,Bangkok,ลาดพร้าว,LAT PHRAO,โฮมออฟฟิศ,Home office,21,83,2023-08-31
343,2020,6,นนทบุรี,Nonthaburi,บางใหญ่,BANG YAI,ทาวน์โฮม,Townhome,37,328,2023-08-31
2248,2019,7,สมุทรสาคร,Samut Sakhon,บ้านแพ้ว,BAN PHAEO,บ้าน,Detached House,16,84,2023-08-31
2055,2020,12,กรุงเทพมหานคร,Bangkok,สายไหม,SAI MAI,บ้านแฝด,Twin house,109,13151,2023-08-31
1650,2020,11,สมุทรปราการ,Samut Prakan,บางบ่อ,BANG BO,ทาวน์โฮม,Townhome,97,1541,2023-08-31
1924,2019,12,กรุงเทพมหานคร,Bangkok,สายไหม,SAI MAI,ทาวน์โฮม,Townhome,20,82,2023-08-31
1844,2022,1,กรุงเทพมหานคร,Bangkok,บางกอกน้อย,BANGKOK NOI,คอนโด,Condo,28,150,2023-08-31
1335,2020,3,ปทุมธานี,Pathum Thani,ธัญบุรี,THANYABURI,บ้าน,Detached House,41,204,2023-08-31
1314,2020,1,กรุงเทพมหานคร,Bangkok,ยานนาวา,YAN NAWA,คอนโด,Condo,19,34,2023-08-31
1867,2022,3,กรุงเทพมหานคร,Bangkok,ตลิ่งชัน,TALING CHAN,บ้าน,Detached House,41,541,2023-08-31
1836,2019,8,ปทุมธานี,Pathum Thani,ลำลูกกา,LAM LUK KA,บ้านแฝด,Twin house,81,1508,2023-08-31
57,2020,1,ปทุมธานี,Pathum Thani,ลำลูกกา,LAM LUK KA,ทาวน์โฮม,Townhome,80,759,2023-08-31
1345,2020,3,สมุทรสาคร,Samut Sakhon,กระทุ่มแบน,KRATHUM BAEN,อาคารพาณิชย์,Commercial,36,213,2023-08-31
1383,2022,2,กรุงเทพมหานคร,Bangkok,ภาษีเจริญ,PHASI CHAROEN,ทาวน์โฮม,Townhome,22,182,2023-08-31
2141,2019,6,กรุงเทพมหานคร,Bangkok,ดอนเมือง,DON MUEANG,ทาวน์โฮม,Townhome,110,1748,2023-08-31
2044,2019,7,กรุงเทพมหานคร,Bangkok,มีนบุรี,MIN BURI,คอนโด,Condo,19,117,2023-08-31
1277,2022,9,กรุงเทพมหานคร,Bangkok,หลักสี่,LAK SI,ทาวน์โฮม,Townhome,9,40,2023-08-31
2091,2022,2,นครปฐม,Nakhon Pathom,สามพราน,SAM PHRAN,บ้าน,Detached House,37,3579,2023-08-31
189,2020,1,กรุงเทพมหานคร,Bangkok,บึงกุ่ม,BUENG KUM,ทาวน์โฮม,Townhome,48,391,2023-08-31
2222,2020,3,สมุทรปราการ,Samut Prakan,บางเสาธง,BANG SAO THONG,ทาวน์โฮม,Townhome,53,4698,2023-08-31
2275,2019,7,กรุงเทพมหานคร,Bangkok,หนองจอก,NONG CHOK,บ้าน,Detached House,37,628,2023-08-31
1661,2020,5,นนทบุรี,Nonthaburi,บางบัวทอง,BANG BUA THONG,อาคารพาณิชย์,Commercial,23,430,2023-08-31
509,2019,11,กรุงเทพมหานคร,Bangkok,สายไหม,SAI MAI,บ้านแฝด,Twin house,46,845,2023-08-31
45,2021,3,กรุงเทพมหานคร,Bangkok,จตุจักร,CHATUCHAK,บ้านแฝด,Twin house,34,254,2023-08-31
1596,2020,1,สมุทรสาคร,Samut Sakhon,กระทุ่มแบน,KRATHUM BAEN,บ้าน,Detached House,77,755,2023-08-31
1535,2019,9,กรุงเทพมหานคร,Bangkok,สายไหม,SAI MAI,บ้านแฝด,Twin house,50,640,2023-08-31
1320,2020,1,กรุงเทพมหานคร,Bangkok,พญาไท,PHAYA THAI,คอนโด,Condo,120,410,2023-08-31
678,2019,6,กรุงเทพมหานคร,Bangkok,คลองเตย,KHLONG TOEI,คอนโด,Condo,34,211,2023-08-31
599,2021,3,กรุงเทพมหานคร,Bangkok,บางคอแหลม,BANG KHO LAEM,บ้าน,Detached House,20,63,2023-08-31
784,2022,12,กรุงเทพมหานคร,Bangkok,บางนา,BANG NA,คอนโด,Condo,6,28,2023-08-31
1942,2019,5,ปทุมธานี,Pathum Thani,ธัญบุรี,THANYABURI,ทาวน์โฮม,Townhome,72,1003,2023-08-31
973,2022,9,สมุทรปราการ,Samut Prakan,บางเสาธง,BANG SAO THONG,โฮมออฟฟิศ,Home office,9,20,2023-08-31
320,2019,6,กรุงเทพมหานคร,Bangkok,บางบอน,BANG BON,ทาวน์โฮม,Townhome,7,17,2023-08-31
2197,2020,2,กรุงเทพมหานคร,Bangkok,บางขุนเทียน,BANG KHUN THIAN,ทาวน์โฮม,Townhome,39,963,2023-08-31
208,2019,2,กรุงเทพมหานคร,Bangkok,ดอนเมือง,DON MUEANG,โฮมออฟฟิศ,Home office,14,41,2023-08-31
224,2019,7,กรุงเทพมหานคร,Bangkok,สวนหลวง,SUAN LUANG,ทาวน์โฮม,Townhome,54,833,2023-08-31
945,2020,1,สมุทรปราการ,Samut Prakan,พระสมุทรเจดีย์,PHRA SAMUT CHEDI,บ้าน,Detached House,92,1224,2023-08-31
1450,2019,3,นครปฐม,Nakhon Pathom,สามพราน,SAM PHRAN,ทาวน์โฮม,Townhome,19,138,2023-08-31
1515,2022,9,กรุงเทพมหานคร,Bangkok,สะพานสูง,SAPHAN SUNG,ทาวน์โฮม,Townhome,9,179,2023-08-31
1141,2019,1,กรุงเทพมหานคร,Bangkok,วัฒนา,VADHANA,คอนโด,Condo,45,95,2023-08-31
989,2020,4,ปทุมธานี,Pathum Thani,เมืองปทุมธานี,MUEANG PATHUM THANI,บ้าน,Detached House,99,1145,2023-08-31
541,2020,12,กรุงเทพมหานคร,Bangkok,สายไหม,SAI MAI,บ้าน,Detached House,109,13151,2023-08-31
476,2020,3,นนทบุรี,Nonthaburi,บางบัวทอง,BANG BUA THONG,โฮมออฟฟิศ,Home office,40,892,2023-08-31
2152,2020,6,กรุงเทพมหานคร,Bangkok,ยานนาวา,YAN NAWA,คอนโด,Condo,18,48,2023-08-31
1269,2021,10,นนทบุรี,Nonthaburi,บางใหญ่,BANG YAI,ทาวน์โฮม,Townhome,20,79,2023-08-31
1263,2021,8,สมุทรปราการ,Samut Prakan,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,ทาวน์โฮม,Townhome,17,80,2023-08-31
1627,2020,11,กรุงเทพมหานคร,Bangkok,คลองสาน,KHLONG SAN,คอนโด,Condo,29,80,2023-08-31
887,2021,5,สมุทรสาคร,Samut Sakhon,เมืองสมุทรสาคร,MUEANG SAMUT SAKHON,โฮมออฟฟิศ,Home office,16,41,2023-08-31
1825,2020,5,สมุทรปราการ,Samut Prakan,พระสมุทรเจดีย์,PHRA SAMUT CHEDI,บ้าน,Detached House,24,83,2023-08-31
619,2019,7,กรุงเทพมหานคร,Bangkok,สะพานสูง,SAPHAN SUNG,อาคารพาณิชย์,Commercial,11,39,2023-08-31
363,2020,3,สมุทรสาคร,Samut Sakhon,กระทุ่มแบน,KRATHUM BAEN,ทาวน์โฮม,Townhome,186,2665,2023-08-31
297,2022,10,ปทุมธานี,Pathum Thani,คลองหลวง,KHLONG LUANG,ทาวน์โฮม,Townhome,28,433,2023-08-31
1399,2020,4,นนทบุรี,Nonthaburi,บางบัวทอง,BANG BUA THONG,บ้าน,Detached House,63,391,2023-08-31
355,2019,8,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,ทาวน์โฮม,Townhome,96,1134,2023-08-31
2317,2020,5,กรุงเทพมหานคร,Bangkok,บางขุนเทียน,BANG KHUN THIAN,สำนักงาน,Office Space,12,29,2023-08-31
417,2019,12,ปทุมธานี,Pathum Thani,เมืองปทุมธานี,MUEANG PATHUM THANI,ทาวน์โฮม,Townhome,39,349,2023-08-31
1777,2022,9,นครปฐม,Nakhon Pathom,เมืองนครปฐม,MUEANG NAKHON PATHOM,ทาวน์โฮม,Townhome,12,848,2023-08-31
243,2020,1,กรุงเทพมหานคร,Bangkok,ดอนเมือง,DON MUEANG,บ้าน,Detached House,8,19,2023-08-31
976,2021,2,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,บ้าน,Detached House,76,914,2023-08-31
2301,2021,4,กรุงเทพมหานคร,Bangkok,วัฒนา,VADHANA,คอนโด,Condo,29,102,2023-08-31
802,2020,1,กรุงเทพมหานคร,Bangkok,พระโขนง,PHRA KHANONG,ทาวน์โฮม,Townhome,15,47,2023-08-31
2267,2020,3,ปทุมธานี,Pathum Thani,เมืองปทุมธานี,MUEANG PATHUM THANI,คอนโด,Condo,43,302,2023-08-31
1546,2022,6,กรุงเทพมหานคร,Bangkok,ตลิ่งชัน,TALING CHAN,ทาวน์โฮม,Townhome,19,485,2023-08-31
497,2019,7,กรุงเทพมหานคร,Bangkok,วังทองหลาง,WANG THONGLANG,บ้าน,Detached House,27,324,2023-08-31
1060,2021,6,กรุงเทพมหานคร,Bangkok,บางกอกน้อย,BANGKOK NOI,ทาวน์โฮม,Townhome,52,955,2023-08-31
677,2019,11,กรุงเทพมหานคร,Bangkok,ดินแดง,DIN DAENG,คอนโด,Condo,27,84,2023-08-31
670,2019,7,สมุทรปราการ,Samut Prakan,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,คอนโด,Condo,25,306,2023-08-31
1931,2022,1,นครปฐม,Nakhon Pathom,สามพราน,SAM PHRAN,บ้าน,Detached House,39,2426,2023-08-31
1077,2021,12,กรุงเทพมหานคร,Bangkok,บางแค,BANG KHAE,คอนโด,Condo,39,436,2023-08-31
1720,2019,9,กรุงเทพมหานคร,Bangkok,ลาดพร้าว,LAT PHRAO,บ้าน,Detached House,94,294,2023-08-31
1610,2019,6,กรุงเทพมหานคร,Bangkok,ประเวศ,PRAWET,บ้าน,Detached House,102,1617,2023-08-31
1367,2020,6,กรุงเทพมหานคร,Bangkok,จตุจักร,CHATUCHAK,โฮมออฟฟิศ,Home office,31,63,2023-08-31
1560,2021,3,กรุงเทพมหานคร,Bangkok,บางนา,BANG NA,คอนโด,Condo,31,72,2023-08-31
1555,2021,3,กรุงเทพมหานคร,Bangkok,หนองจอก,NONG CHOK,บ้าน,Detached House,89,2147,2023-08-31
1159,2020,1,กรุงเทพมหานคร,Bangkok,วังทองหลาง,WANG THONGLANG,บ้าน,Detached House,37,177,2023-08-31
2143,2022,8,กรุงเทพมหานคร,Bangkok,ตลิ่งชัน,TALING CHAN,บ้าน,Detached House,10,41,2023-08-31
115,2020,2,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,ทาวน์โฮม,Townhome,37,252,2023-08-31
230,2022,5,กรุงเทพมหานคร,Bangkok,บางเขน,BANG KHEN,คอนโด,Condo,17,158,2023-08-31
1441,2020,1,สมุทรปราการ,Samut Prakan,บางเสาธง,BANG SAO THONG,บ้านแฝด,Twin house,64,649,2023-08-31
1342,2022,10,กรุงเทพมหานคร,Bangkok,คลองสาน,KHLONG SAN,คอนโด,Condo,8,41,2023-08-31
1619,2019,7,กรุงเทพมหานคร,Bangkok,จตุจักร,CHATUCHAK,คอนโด,Condo,185,612,2023-08-31
1815,2022,7,ปทุมธานี,Pathum Thani,ลำลูกกา,LAM LUK KA,ทาวน์โฮม,Townhome,24,253,2023-08-31
1047,2019,9,กรุงเทพมหานคร,Bangkok,ลาดพร้าว,LAT PHRAO,โฮมออฟฟิศ,Home office,23,45,2023-08-31
880,2020,6,ปทุมธานี,Pathum Thani,ลำลูกกา,LAM LUK KA,ทาวน์โฮม,Townhome,40,575,2023-08-31
1213,2020,7,สมุทรปราการ,Samut Prakan,พระสมุทรเจดีย์,PHRA SAMUT CHEDI,ทาวน์โฮม,Townhome,26,109,2023-08-31
2224,2020,2,กรุงเทพมหานคร,Bangkok,สายไหม,SAI MAI,บ้านแฝด,Twin house,164,3319,2023-08-31
2327,2021,7,นครปฐม,Nakhon Pathom,สามพราน,SAM PHRAN,บ้าน,Detached House,25,175,2023-08-31
1381,2021,9,กรุงเทพมหานคร,Bangkok,จอมทอง,CHOM THONG,อาคารพาณิชย์,Commercial,7,41,2023-08-31
2178,2020,3,นนทบุรี,Nonthaburi,บางกรวย,BANG KRUAI,บ้าน,Detached House,42,235,2023-08-31
1401,2020,4,กรุงเทพมหานคร,Bangkok,วัฒนา,VADHANA,บ้าน,Detached House,49,271,2023-08-31
1382,2021,7,กรุงเทพมหานคร,Bangkok,ดอนเมือง,DON MUEANG,บ้าน,Detached House,14,55,2023-08-31
1372,2019,5,กรุงเทพมหานคร,Bangkok,หนองจอก,NONG CHOK,บ้าน,Detached House,15,60,2023-08-31
1308,2020,3,นครปฐม,Nakhon Pathom,เมืองนครปฐม,MUEANG NAKHON PATHOM,บ้านแฝด,Twin house,79,3794,2023-08-31
779,2022,10,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,ทาวน์โฮม,Townhome,11,493,2023-08-31
733,2019,3,กรุงเทพมหานคร,Bangkok,วัฒนา,VADHANA,คอนโด,Condo,38,83,2023-08-31
2307,2020,8,สมุทรปราการ,Samut Prakan,บางบ่อ,BANG BO,ทาวน์โฮม,Townhome,39,920,2023-08-31
1604,2022,8,สมุทรปราการ,Samut Prakan,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,บ้านแฝด,Twin house,11,19,2023-08-31
1594,2022,9,สมุทรปราการ,Samut Prakan,บางเสาธง,BANG SAO THONG,คอนโด,Condo,5,13,2023-08-31
2049,2019,9,นนทบุรี,Nonthaburi,ปากเกร็ด,PAK KRET,คอนโด,Condo,33,109,2023-08-31
407,2020,1,สมุทรสาคร,Samut Sakhon,เมืองสมุทรสาคร,MUEANG SAMUT SAKHON,บ้าน,Detached House,52,797,2023-08-31
34,2022,5,ปทุมธานี,Pathum Thani,ลำลูกกา,LAM LUK KA,โฮมออฟฟิศ,Home office,11,49,2023-08-31
60,2020,6,กรุงเทพมหานคร,Bangkok,ทุ่งครุ,THUNG KHRU,ทาวน์โฮม,Townhome,31,114,2023-08-31
1772,2020,6,นนทบุรี,Nonthaburi,บางใหญ่,BANG YAI,บ้าน,Detached House,19,70,2023-08-31
273,2020,1,กรุงเทพมหานคร,Bangkok,บางนา,BANG NA,คอนโด,Condo,46,96,2023-08-31
46,2022,8,กรุงเทพมหานคร,Bangkok,จตุจักร,CHATUCHAK,คอนโด,Condo,8,39,2023-08-31
2169,2021,9,ปทุมธานี,Pathum Thani,เมืองปทุมธานี,MUEANG PATHUM THANI,บ้าน,Detached House,14,402,2023-08-31
1246,2020,2,กรุงเทพมหานคร,Bangkok,บางเขน,BANG KHEN,โฮมออฟฟิศ,Home office,10,17,2023-08-31
287,2020,5,นนทบุรี,Nonthaburi,ไทรน้อย,SAI NOI,บ้าน,Detached House,39,1796,2023-08-31
333,2022,8,กรุงเทพมหานคร,Bangkok,ราษฎร์บูรณะ,RAT BURANA,อาคารพาณิชย์,Commercial,11,44,2023-08-31
1417,2020,8,กรุงเทพมหานคร,Bangkok,บางกะปิ,BANG KAPI,บ้าน,Detached House,17,50,2023-08-31
901,2020,11,ปทุมธานี,Pathum Thani,คลองหลวง,KHLONG LUANG,บ้านแฝด,Twin house,58,1048,2023-08-31
131,2021,4,สมุทรปราการ,Samut Prakan,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,บ้าน,Detached House,29,343,2023-08-31
2284,2020,5,กรุงเทพมหานคร,Bangkok,ประเวศ,PRAWET,โฮมออฟฟิศ,Home office,10,18,2023-08-31
1468,2022,2,กรุงเทพมหานคร,Bangkok,บางขุนเทียน,BANG KHUN THIAN,บ้านแฝด,Twin house,28,203,2023-08-31
1669,2022,5,นครปฐม,Nakhon Pathom,เมืองนครปฐม,MUEANG NAKHON PATHOM,ทาวน์โฮม,Townhome,17,96,2023-08-31
56,2021,3,นนทบุรี,Nonthaburi,บางบัวทอง,BANG BUA THONG,คอนโด,Condo,41,457,2023-08-31
166,2022,9,ปทุมธานี,Pathum Thani,ลำลูกกา,LAM LUK KA,บ้าน,Detached House,33,231,2023-08-31
1613,2022,10,ปทุมธานี,Pathum Thani,เมืองปทุมธานี,MUEANG PATHUM THANI,บ้าน,Detached House,12,163,2023-08-31
872,2022,6,กรุงเทพมหานคร,Bangkok,บางกะปิ,BANG KAPI,ทาวน์โฮม,Townhome,16,251,2023-08-31
1615,2020,4,กรุงเทพมหานคร,Bangkok,จตุจักร,CHATUCHAK,สำนักงาน,Office Space,20,43,2023-08-31
2121,2020,2,กรุงเทพมหานคร,Bangkok,ลาดพร้าว,LAT PHRAO,บ้านแฝด,Twin house,22,162,2023-08-31
1541,2020,3,สมุทรปราการ,Samut Prakan,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,อาคารพาณิชย์,Commercial,31,581,2023-08-31
1552,2020,3,กรุงเทพมหานคร,Bangkok,ลาดพร้าว,LAT PHRAO,บ้านแฝด,Twin house,38,162,2023-08-31
792,2020,7,นนทบุรี,Nonthaburi,เมืองนนทบุรี,MUEANG NONTHABURI,คอนโด,Condo,33,280,2023-08-31
827,2020,3,กรุงเทพมหานคร,Bangkok,คันนายาว,KHAN NA YAO,บ้าน,Detached House,47,153,2023-08-31
2302,2021,10,กรุงเทพมหานคร,Bangkok,บางขุนเทียน,BANG KHUN THIAN,ทาวน์โฮม,Townhome,19,113,2023-08-31
495,2022,4,กรุงเทพมหานคร,Bangkok,สวนหลวง,SUAN LUANG,บ้าน,Detached House,14,40,2023-08-31
1523,2020,11,ปทุมธานี,Pathum Thani,คลองหลวง,KHLONG LUANG,ทาวน์โฮม,Townhome,47,299,2023-08-31
1872,2022,12,นนทบุรี,Nonthaburi,บางใหญ่,BANG YAI,ทาวน์โฮม,Townhome,4,54,2023-08-31
329,2019,2,นนทบุรี,Nonthaburi,บางกรวย,BANG KRUAI,ทาวน์โฮม,Townhome,52,665,2023-08-31
1954,2022,1,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,ทาวน์โฮม,Townhome,44,188,2023-08-31
879,2021,9,กรุงเทพมหานคร,Bangkok,ดอนเมือง,DON MUEANG,ทาวน์โฮม,Townhome,39,829,2023-08-31
2073,2022,2,นนทบุรี,Nonthaburi,บางบัวทอง,BANG BUA THONG,บ้าน,Detached House,44,166,2023-08-31
1989,2022,8,กรุงเทพมหานคร,Bangkok,ดอนเมือง,DON MUEANG,บ้านแฝด,Twin house,14,49,2023-08-31
