row_number,transction_year,transction_month,province_name_th,province_name_en,district_name_th,district_name_en,propertytype_name_th,propertytype_name_en,volume_of_project,interest,day
562,2020,4,ปทุมธานี,Pathum Thani,เมืองปทุมธานี,MUEANG PATHUM THANI,อาคารพาณิชย์,Commercial,45,267,2023-08-31
1694,2019,9,กรุงเทพมหานคร,Bangkok,จตุจักร,CHATUCHAK,คอนโด,Condo,60,164,2023-08-31
1116,2019,7,กรุงเทพมหานคร,Bangkok,คลองเตย,KHLONG TOEI,คอนโด,Condo,34,161,2023-08-31
1842,2021,3,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,บ้าน,Detached House,26,401,2023-08-31
1592,2020,6,กรุงเทพมหานคร,Bangkok,คลองเตย,KHLONG TOEI,ทาวน์โฮม,Townhome,14,50,2023-08-31
80,2020,2,กรุงเทพมหานคร,Bangkok,บางคอแหลม,BANG KHO LAEM,คอนโด,Condo,26,101,2023-08-31
881,2020,8,ปทุมธานี,Pathum Thani,คลองหลวง,KHLONG LUANG,ทาวน์โฮม,Townhome,37,457,2023-08-31
949,2019,7,สมุทรปราการ,Samut Prakan,พระสมุทรเจดีย์,PHRA SAMUT CHEDI,บ้าน,Detached House,40,1084,2023-08-31
2338,2020,3,ปทุมธานี,Pathum Thani,ลำลูกกา,LAM LUK KA,ทาวน์โฮม,Townhome,29,293,2023-08-31
820,2022,8,นนทบุรี,Nonthaburi,ไทรน้อย,SAI NOI,บ้าน,Detached House,15,74,2023-08-31
2282,2020,10,กรุงเทพมหานคร,Bangkok,คันนายาว,KHAN NA YAO,ทาวน์โฮม,Townhome,39,679,2023-08-31
775,2021,3,นนทบุรี,Nonthaburi,บางใหญ่,BANG YAI,บ้าน,Detached House,20,177,2023-08-31
774,2021,9,กรุงเทพมหานคร,Bangkok,สายไหม,SAI MAI,บ้าน,Detached House,7,14,2023-08-31
2192,2019,9,สมุทรปราการ,Samut Prakan,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,ทาวน์โฮม,Townhome,25,265,2023-08-31
1117,2019,7,กรุงเทพมหานคร,Bangkok,บึงกุ่ม,BUENG KUM,ทาวน์โฮม,Townhome,46,208,2023-08-31
1519,2020,1,นครปฐม,Nakhon Pathom,เมืองนครปฐม,MUEANG NAKHON PATHOM,ทาวน์โฮม,Townhome,50,642,2023-08-31
2351,2020,6,สมุทรปราการ,Samut Prakan,เมืองสมุทรปราการ,MUEANG SAMUT PRAKAN,บ้านแฝด,Twin house,39,1994,2023-08-31
1101,2021,3,สมุทรปราการ,Samut Prakan,บางพลี,BANG PHLI,ทาวน์โฮม,Townhome,114,755,2023-08-31
1582,2021,10,นนทบุรี,Nonthaburi,บางกรวย,BANG KRUAI,ทาวน์โฮม,Townhome,67,528,2023-08-31
382,2020,3,กรุงเทพมหานคร,Bangkok,คลองสามวา,KHLONG SAM WA,ทาวน์โฮม,Townhome,25,231,2023-08-31
113,2021,8,กรุงเทพมหานคร,Bangkok,ดอนเมือง,DON MUEANG,ทาวน์โฮม,Townhome,25,326,2023-08-31
810,2020,7,สมุทรปราการ,Samut Prakan,พระสมุทรเจดีย์,PHRA SAMUT CHEDI,บ้านแฝด,Twin house,3,11,2023-08-31
