row_number,subdistrict_id,subdistrict_name_en,subdistrict_name_th,district_id,district_name_en,district_name_th,province_id,province_name_en,province_name_th,walk_leisure,walk_public_service,walk_school,walk_shopping,walk_work,walk_total,access_boat,access_bus,access_train,access_total,drive_leisure,drive_public_service,drive_school,drive_shopping,drive_work,drive_total,source,day
281,3775,BANG TOEI,บางเตย,3764,SAM PHRAN,สามพราน,3667,Nakhon Pathom,นครปฐม,60.0,13.0,24.0,91.0,80.0,69.0,0.0,94.0,0.0,38.0,95.0,96.0,86.0,100.0,100.0,97.0,baania,2023-08-31
116,3408,LAHAN,ละหาร,3402,BANG BUA THONG,บางบัวทอง,3372,Nonthaburi,นนทบุรี,52.0,78.0,59.0,100.0,98.0,84.0,6.0,74.0,1.0,32.0,90.0,98.0,92.0,100.0,100.0,97.0,baania,2023-08-31
332,20626,KHLONG BANG PHRAN,คลองบางพราน,3879,BANG BON,บางบอน,3781,Bangkok,กรุงเทพมหานคร,86.0,99.0,86.0,100.0,100.0,96.0,2.0,97.0,1.0,40.0,99.0,71.0,99.0,93.0,95.0,93.0,baania,2023-08-31
343,3415,BANG YAI,บางใหญ่,3411,BANG YAI,บางใหญ่,3372,Nonthaburi,นนทบุรี,68.0,92.0,73.0,96.0,93.0,87.0,1.0,18.0,1.0,8.0,93.0,99.0,96.0,100.0,100.0,98.0,baania,2023-08-31
118,3810,BANG MOT,บางมด,3806,CHOM THONG,จอมทอง,3781,Bangkok,กรุงเทพมหานคร,95.0,98.0,95.0,99.0,98.0,97.0,7.0,91.0,45.0,48.0,98.0,73.0,100.0,81.0,95.0,87.0,baania,2023-08-31
121,3613,SUAN PHRIK THAI,สวนพริกไทย,3600,MUEANG PATHUM THANI,เมืองปทุมธานี,3599,Pathum Thani,ปทุมธานี,6.0,11.0,1.0,100.0,90.0,61.0,0.0,71.0,0.0,28.0,100.0,100.0,66.0,71.0,68.0,79.0,baania,2023-08-31
9,3966,KHLONG TAN NUEA,คลองตันเหนือ,3965,VADHANA,วัฒนา,3781,Bangkok,กรุงเทพมหานคร,97.0,99.0,97.0,100.0,100.0,99.0,99.0,100.0,100.0,100.0,100.0,77.0,100.0,98.0,99.0,97.0,baania,2023-08-31
233,3771,THA KHAM,ท่าข้าม,3764,SAM PHRAN,สามพราน,3667,Nakhon Pathom,นครปฐม,55.0,15.0,46.0,90.0,100.0,72.0,0.0,98.0,0.0,39.0,98.0,100.0,98.0,100.0,100.0,99.0,baania,2023-08-31
193,3855,WAT ARUN,วัดอรุณ,3853,BANGKOK YAI,บางกอกใหญ่,3781,Bangkok,กรุงเทพมหานคร,100.0,100.0,100.0,100.0,100.0,100.0,97.0,98.0,98.0,98.0,100.0,80.0,100.0,90.0,80.0,91.0,baania,2023-08-31
305,3919,BANG KHUN PHROM,บางขุนพรหม,3915,PHRA NAKHON,พระนคร,3781,Bangkok,กรุงเทพมหานคร,100.0,100.0,100.0,100.0,100.0,100.0,64.0,96.0,100.0,84.0,100.0,90.0,100.0,95.0,100.0,97.0,baania,2023-08-31
