Time,dust_1,dust_2_5,dust_10
2020-02-05T18:25:37Z,10.08,18.86,35.92
2020-02-05T18:23:45Z,8.89,16.97,48.15
2020-02-05T18:21:51Z,9.3,18.14,36.33
2020-02-05T18:19:56Z,9.16,17.69,32.29
2020-02-05T18:18:03Z,8.84,16.94,40.97
2020-02-05T18:16:10Z,9.13,16.62,39.27
2020-02-05T18:14:17Z,9.32,18.44,32.91
2020-02-05T18:12:24Z,9.39,17.57,65.99
2020-02-05T18:10:31Z,9.65,17.63,46.12
2020-02-05T18:08:39Z,9.57,18.5,26.7
2020-02-05T18:06:46Z,9.59,17.16,47.34
2020-02-05T18:04:53Z,9.78,19.62,49.66
2020-02-05T18:03:00Z,9.27,16.42,28.42
2020-02-05T18:01:06Z,10.01,18.13,42.97
2020-02-05T17:59:14Z,11.07,19.46,69.13
2020-02-05T17:57:21Z,9.53,19.14,34.27
2020-02-05T17:55:27Z,9.64,15.57,41.54
2020-02-05T17:53:34Z,10.06,16.62,23.2
2020-02-05T17:51:41Z,11.13,19.29,35.95
2020-02-05T17:49:48Z,10.94,20.61,49.35
2020-02-05T17:47:54Z,9.5,16.84,30.31
2020-02-05T17:46:00Z,11.03,19.56,57.61
2020-02-05T17:44:06Z,10.4,18.52,24.84
2020-02-05T17:42:13Z,10.67,17.35,22.25
2020-02-05T17:40:20Z,10.14,17.12,27.44
2020-02-05T17:38:27Z,12.13,20.01,30.08
2020-02-05T17:36:31Z,10.03,16.43,40.95
2020-02-05T17:34:37Z,9.71,14.72,26.25
2020-02-05T17:32:45Z,9.96,18.8,62.11
2020-02-05T17:30:51Z,10.23,18.23,67.48
2020-02-05T17:28:58Z,10.58,19.48,37.79
2020-02-05T17:27:05Z,10.82,18.94,58.13
2020-02-05T17:24:55Z,10.85,21.53,63.14
2020-02-05T17:22:54Z,10.41,16.44,50.01
2020-02-05T17:20:58Z,10.67,18.53,28.19
2020-02-05T17:19:05Z,11.07,20.84,43.77
2020-02-05T17:17:12Z,9.61,16.3,45.56
2020-02-05T17:15:19Z,8.92,13.71,19.69
2020-02-05T17:13:26Z,10.13,16.15,26.67
2020-02-05T17:11:32Z,10.1,18.69,27.16
2020-02-05T17:09:38Z,11.16,18.58,41.2
2020-02-05T17:07:44Z,11.54,20.2,43.08
2020-02-05T17:05:49Z,10.92,19.51,60.46
2020-02-05T17:03:52Z,10.45,16.67,40.48
2020-02-05T17:01:58Z,10.24,17.68,23.0
2020-02-05T17:00:04Z,10.95,18.8,31.7
2020-02-05T16:58:10Z,11.26,17.55,24.19
2020-02-05T16:56:13Z,11.24,18.75,37.92
2020-02-05T16:54:19Z,10.43,16.43,28.44
2020-02-05T16:52:25Z,10.97,19.75,53.94
2020-02-05T16:50:31Z,11.67,15.56,30.66
2020-02-05T16:48:37Z,11.21,16.23,23.68
2020-02-05T16:46:43Z,11.42,20.32,29.9
2020-02-05T16:44:50Z,10.65,17.56,56.46
2020-02-05T16:42:57Z,12.16,16.83,18.6
2020-02-05T16:41:00Z,10.0,14.66,26.09
2020-02-05T16:39:05Z,11.99,18.05,26.42
2020-02-05T16:37:11Z,10.61,16.5,24.15
2020-02-05T16:35:17Z,9.99,14.19,25.15
2020-02-05T16:33:23Z,10.5,17.42,49.17
2020-02-05T16:31:30Z,11.27,17.27,21.48
2020-02-05T16:29:37Z,11.31,17.76,37.04
2020-02-05T16:27:44Z,10.12,18.23,37.27
2020-02-05T16:25:50Z,10.99,15.99,20.42
2020-02-05T16:23:56Z,10.18,18.15,84.06
2020-02-05T16:22:02Z,10.49,16.42,58.06
2020-02-05T16:20:09Z,11.29,18.88,61.5
2020-02-05T16:18:15Z,10.01,14.87,31.99
2020-02-05T16:16:22Z,10.89,18.03,23.3
2020-02-05T16:14:28Z,10.22,14.34,17.24
2020-02-05T16:12:35Z,10.74,17.49,25.59
2020-02-05T16:10:41Z,10.78,16.88,41.66
2020-02-05T16:08:47Z,9.88,16.91,44.52
2020-02-05T16:06:54Z,10.9,16.44,27.28
2020-02-05T16:05:00Z,11.03,16.57,68.73
2020-02-05T16:03:07Z,10.57,15.33,22.56
2020-02-05T16:01:13Z,10.83,16.46,69.68
